price,log_price,model_year,age,mileage,log_mileage,brand,brand_group,fuel_type,transmission,accident,clean_title,row_id,z_age,z_log_mileage,y,brand_id
9888,9.199077179697472,2015,9,194454,12.177956052804348,Ford,Ford,Gasoline,Automatic,None reported,Yes,134,0.07800468172685332,1.343415070888884,-1.0534436615781964,10
89999,11.407553838139561,2021,3,21000,9.952325334619427,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,135,-0.9125759835963774,-0.6284327783526835,1.155032996863893,20
86900,11.372513311253483,2013,11,18494,9.825255704266555,Porsche,Porsche,Gasoline,Manual,Unknown,Unknown,136,0.4081982368345969,-0.7410129900059335,1.1199924699778148,29
12990,9.471935109664646,2006,18,218000,12.292254928916668,Dodge,Dodge,Gasoline,Automatic,None reported,Yes,137,1.5638756797116993,1.444680744116387,-0.7805857316110227,9
36500,10.505067539570582,2021,3,67800,11.124332223082254,Nissan,Nissan,Gasoline,Automatic,Accident/damage reported,Yes,138,-0.9125759835963774,0.4099332198468935,0.25254669829491405,27
42999,10.668932138591325,2014,10,79000,11.277215789596893,Porsche,Porsche,Gasoline,Automatic,Accident/damage reported,Yes,139,0.2431014592807251,0.5453838718140467,0.4164112973156566,29
63998,11.066607111853518,2022,2,24906,10.122904167442703,Mercedes-Benz,Mercedes-Benz,Hybrid,Automatic,None reported,Unknown,140,-1.0776727611502492,-0.4773046051654337,0.8140862705778495,24
12000,9.392661928770137,2006,18,66840,11.110071943698552,Chevrolet,Chevrolet,Gasoline,Automatic,Accident/damage reported,Yes,141,1.5638756797116993,0.3972990029471245,-0.8598589125055316,7
32000,10.373491181781864,2013,11,86000,11.362114203075018,BMW,BMW,Gasoline,Automatic,None reported,Yes,142,0.4081982368345969,0.6206015405193874,0.12097034050619548,4
34599,10.451580058894049,2023,1,654,6.484635235635252,Hyundai,Hyundai,Gasoline,Automatic,None reported,Yes,143,-1.2427695387041209,-3.700711215044398,0.1990592176183803,14
12500,9.433483923290392,2005,19,75000,11.225256725762893,Chevrolet,Chevrolet,Gasoline,Automatic,None reported,Yes,144,1.7289724572655711,0.4993495645803501,-0.8190369179852759,7
22800,10.034515814942532,2015,9,84000,11.338583982516495,Land,Land,Gasoline,Automatic,Accident/damage reported,Yes,145,0.07800468172685332,0.5997544096717581,-0.21800502633313634,19
39999,10.596609732783568,2017,7,52500,10.868587496017359,Audi,Audi,Gasoline,Automatic,None reported,Yes,146,-0.25218887338089024,0.18335039732499214,0.3440888915078997,2
35645,10.48136416355173,2020,4,18665,9.834458966125691,Alfa,Other,Gasoline,Automatic,None reported,Yes,148,-0.7474792060425056,-0.7328591521052124,0.2288433222760613,28
149900,11.917723684090689,2016,8,19987,9.902887372464095,Ferrari,Other,Gasoline,Automatic,None reported,Yes,149,-0.08709209582701846,-0.6722334585600361,1.6652028428150203,28
23950,10.083723602839061,2017,7,36486,10.504711311745423,Kia,Kia,Gasoline,Automatic,Accident/damage reported,Yes,150,-0.25218887338089024,-0.1390339342194602,-0.168797238436607,18
47000,10.757902880692196,2022,2,13079,9.47883962501119,Tesla,Tesla,Unknown/Other,Automatic,None reported,Yes,152,-1.0776727611502492,-1.0479281467932473,0.5053820394165278,32
36999,10.518646164234097,2022,2,28377,10.253369476067258,Toyota,Toyota,Gasoline,Automatic,None reported,Unknown,153,-1.0776727611502492,-0.3617159155818501,0.2661253229584286,33
24000,10.085809109330082,2020,4,32744,10.396505557652153,Subaru,Subaru,Gasoline,CVT,None reported,Yes,154,-0.7474792060425056,-0.2349012682479832,-0.1667117319455862,31
26000,10.165851817003619,2012,12,54000,10.896757843893464,Porsche,Porsche,Gasoline,Automatic,Accident/damage reported,Yes,155,0.5732950143884686,0.20830855386822467,-0.08666902427204981,29
8500,9.047821442478408,2008,16,202055,12.21630016568561,Toyota,Toyota,Gasoline,Automatic,Accident/damage reported,Yes,156,1.2336821246039558,1.3773869045350577,-1.2046993987972598,33
65000,11.082142548877775,2019,5,65000,11.082157933374816,RAM,RAM,Diesel,Automatic,None reported,Yes,157,-0.5823824284886338,0.37256795445339513,0.8296217076021062,30
30990,10.341419850781794,2022,2,9686,9.178540059426386,Kia,Kia,Gasoline,Automatic,None reported,Yes,158,-1.0776727611502492,-1.3139853357457296,0.08889900950612528,18
26500,10.184900011974314,1997,27,213000,12.269052139516223,Toyota,Toyota,Gasoline,Automatic,None reported,Yes,160,3.0497466776965454,1.4241237083054394,-0.06762082930135449,33
114000,11.643953727376633,2020,4,16010,9.681031265002055,Nissan,Nissan,Gasoline,Automatic,None reported,Yes,161,-0.7474792060425056,-0.8687918924303679,1.391432886100965,27
51998,10.858960535285439,2023,1,820,6.710523109452428,Lexus,Lexus,Gasoline,Other,None reported,Unknown,162,-1.2427695387041209,-3.5005807466262584,0.6064396940097705,20
36499,10.505040141934996,2021,3,68000,11.127277689932466,Audi,Audi,Gasoline,Automatic,None reported,Yes,163,-0.9125759835963774,0.41254282279052107,0.25251930065932804,2
25000,10.126631103850338,1999,25,82000,11.314486721293981,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,164,2.7195531225888017,0.5784048963288725,-0.1258897374253305,20
27785,10.232251585714021,2022,2,27352,10.216581491048599,GMC,GMC,Gasoline,Automatic,None reported,Unknown,165,-1.0776727611502492,-0.3943090625690255,-0.02026925556164727,12
7000,8.85366542803745,2012,12,129000,11.767575435251748,Ford,Ford,Gasoline,Automatic,Accident/damage reported,Yes,166,0.5732950143884686,0.9798290853613941,-1.398855413238218,10
30000,10.308952660644293,2014,10,106731,11.578076298606234,Lexus,Lexus,Gasoline,Automatic,Accident/damage reported,Yes,167,0.2431014592807251,0.8119380412746525,0.0564318193686244,20
45500,10.725467604939041,2019,5,34672,10.453716565076885,Ford,Ford,Gasoline,Automatic,None reported,Yes,168,-0.5823824284886338,-0.18421388286025725,0.47294676366337285,10
128900,11.766792188927278,2023,1,3158,8.058010800802085,Audi,Audi,Gasoline,Automatic,None reported,Unknown,170,-1.2427695387041209,-2.306743564043598,1.5142713476516096,2
17000,9.740968623038354,2015,9,82000,11.314486721293981,Audi,Audi,Gasoline,Automatic,None reported,Yes,171,0.07800468172685332,0.5784048963288725,-0.5115522182373144,2
42850,10.665460924025925,2023,1,4785,8.47345026846832,Genesis,Genesis,Gasoline,Automatic,None reported,Yes,172,-1.2427695387041209,-1.9386755758933458,0.4129400827502572,11
22999,10.043206015705211,2021,3,20497,9.928082599391509,Chevrolet,Chevrolet,Gasoline,Automatic,None reported,Unknown,173,-0.9125759835963774,-0.6499111776793648,-0.20931482557045733,7
7100,8.867850063029406,2013,11,177600,12.087294740154986,Scion,Other,Gasoline,Automatic,Accident/damage reported,Yes,174,0.4081982368345969,1.263091631381878,-1.384670778246262,28
15500,9.648595302907339,2014,10,78568,11.271732498584736,Lincoln,Lincoln,Hybrid,Automatic,None reported,Yes,175,0.2431014592807251,0.5405258261819733,-0.6039255383683297,21
