price,log_price,model_year,age,mileage,log_mileage,brand,brand_group,fuel_type,transmission,accident,clean_title,row_id
34599,10.451580058894049,2023,1,654,6.484635235635252,Hyundai,Hyundai,Gasoline,Automatic,None reported,Yes,143
12500,9.433483923290392,2005,19,75000,11.225256725762893,Chevrolet,Chevrolet,Gasoline,Automatic,None reported,Yes,144
22800,10.034515814942532,2015,9,84000,11.338583982516495,Land,Land,Gasoline,Automatic,Accident/damage reported,Yes,145
39999,10.596609732783568,2017,7,52500,10.868587496017359,Audi,Audi,Gasoline,Automatic,None reported,Yes,146
7500,8.922658299524402,2011,13,120000,11.695255355062795,GMC,GMC,Gasoline,Automatic,None reported,Yes,147
35645,10.48136416355173,2020,4,18665,9.834458966125691,Alfa,Other,Gasoline,Automatic,None reported,Yes,148
149900,11.917723684090689,2016,8,19987,9.902887372464095,Ferrari,Other,Gasoline,Automatic,None reported,Yes,149
23950,10.083723602839061,2017,7,36486,10.504711311745423,Kia,Kia,Gasoline,Automatic,Accident/damage reported,Yes,150
12500,9.433483923290392,2013,11,162100,11.9959748767362,Ford,Ford,E85 Flex Fuel,Automatic,None reported,Yes,151
47000,10.757902880692196,2022,2,13079,9.47883962501119,Tesla,Tesla,Unknown/Other,Automatic,None reported,Yes,152
36999,10.518646164234097,2022,2,28377,10.253369476067258,Toyota,Toyota,Gasoline,Automatic,None reported,Unknown,153
24000,10.085809109330082,2020,4,32744,10.396505557652153,Subaru,Subaru,Gasoline,CVT,None reported,Yes,154
26000,10.165851817003619,2012,12,54000,10.896757843893464,Porsche,Porsche,Gasoline,Automatic,Accident/damage reported,Yes,155
8500,9.047821442478408,2008,16,202055,12.21630016568561,Toyota,Toyota,Gasoline,Automatic,Accident/damage reported,Yes,156
65000,11.082142548877775,2019,5,65000,11.082157933374816,RAM,RAM,Diesel,Automatic,None reported,Yes,157
30990,10.341419850781794,2022,2,9686,9.178540059426386,Kia,Kia,Gasoline,Automatic,None reported,Yes,158
10499,9.259035293514941,2010,14,49620,10.812169410206767,Cadillac,Cadillac,Gasoline,Automatic,None reported,Yes,159
26500,10.184900011974314,1997,27,213000,12.269052139516223,Toyota,Toyota,Gasoline,Automatic,None reported,Yes,160
114000,11.643953727376633,2020,4,16010,9.681031265002055,Nissan,Nissan,Gasoline,Automatic,None reported,Yes,161
51998,10.858960535285439,2023,1,820,6.710523109452428,Lexus,Lexus,Gasoline,Other,None reported,Unknown,162
36499,10.505040141934996,2021,3,68000,11.127277689932466,Audi,Audi,Gasoline,Automatic,None reported,Yes,163
25000,10.126631103850338,1999,25,82000,11.314486721293981,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,164
27785,10.232251585714021,2022,2,27352,10.216581491048599,GMC,GMC,Gasoline,Automatic,None reported,Unknown,165
7000,8.85366542803745,2012,12,129000,11.767575435251748,Ford,Ford,Gasoline,Automatic,Accident/damage reported,Yes,166
30000,10.308952660644293,2014,10,106731,11.578076298606234,Lexus,Lexus,Gasoline,Automatic,Accident/damage reported,Yes,167
45500,10.725467604939041,2019,5,34672,10.453716565076885,Ford,Ford,Gasoline,Automatic,None reported,Yes,168
8950,9.099408811268901,2010,14,55900,10.93133754807084,Chevrolet,Chevrolet,Gasoline,Automatic,None reported,Yes,169
128900,11.766792188927278,2023,1,3158,8.058010800802085,Audi,Audi,Gasoline,Automatic,None reported,Unknown,170
17000,9.740968623038354,2015,9,82000,11.314486721293981,Audi,Audi,Gasoline,Automatic,None reported,Yes,171
42850,10.665460924025925,2023,1,4785,8.47345026846832,Genesis,Genesis,Gasoline,Automatic,None reported,Yes,172
22999,10.043206015705211,2021,3,20497,9.928082599391509,Chevrolet,Chevrolet,Gasoline,Automatic,None reported,Unknown,173
7100,8.867850063029406,2013,11,177600,12.087294740154986,Scion,Other,Gasoline,Automatic,Accident/damage reported,Yes,174
15500,9.648595302907339,2014,10,78568,11.271732498584736,Lincoln,Lincoln,Hybrid,Automatic,None reported,Yes,175
43000,10.668955394675699,2018,6,95000,11.461642696843066,Ford,Ford,E85 Flex Fuel,Automatic,None reported,Yes,176
39951,10.595408982170255,2021,3,25240,10.136224935521659,Ford,Ford,Gasoline,Automatic,Accident/damage reported,Unknown,177
11500,9.350102314351341,2011,13,88300,11.388506711556236,Volvo,Volvo,Gasoline,Automatic,Accident/damage reported,Yes,178
27499,10.221904919357126,2013,11,98000,11.49273296168228,Chevrolet,Chevrolet,E85 Flex Fuel,Automatic,Accident/damage reported,Yes,179
76000,11.238488619268468,2018,6,20675,9.93672888631593,Audi,Audi,Gasoline,Automatic,None reported,Yes,180
10900,9.296518068217235,2008,16,95000,11.461642696843066,Lincoln,Lincoln,Gasoline,Automatic,None reported,Yes,181
6250,8.740336742730447,2010,14,107000,11.580593459194764,Hyundai,Hyundai,Gasoline,Automatic,Accident/damage reported,Yes,182
24700,10.114558522616068,2016,8,60000,11.002116507732017,Audi,Audi,Gasoline,Automatic,Accident/damage reported,Yes,183
34999,10.463074768634808,2012,12,33000,10.404293143019792,Mitsubishi,Mitsubishi,Gasoline,Manual,None reported,Yes,184
60000,11.002099841204238,2023,1,500,6.2166061010848646,Tesla,Tesla,Unknown/Other,Automatic,None reported,Yes,185
63500,11.058795184880783,2016,8,108500,11.59451466851004,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,186
149500,11.915051671812877,2017,7,37800,10.540090836284206,Nissan,Nissan,Gasoline,Automatic,None reported,Yes,187
44798,10.709918774549411,2018,6,74422,11.217520312832272,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Unknown,188
34562,10.450510091613937,2019,5,55621,10.926334085429858,Chevrolet,Chevrolet,Gasoline,Automatic,None reported,Unknown,189
32541,10.390256111708327,2021,3,46707,10.751670735195605,Mazda,Mazda,Gasoline,Automatic,Accident/damage reported,Yes,190
65900,11.095893720490599,2022,2,26500,10.184937747111391,Ford,Ford,Gasoline,Automatic,None reported,Yes,191
47214,10.762445737763038,2020,4,10001,9.21054035197885,Nissan,Nissan,Gasoline,Automatic,None reported,Yes,192
76900,11.250261155493735,2019,5,19050,9.854874872615435,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,193
35800,10.485703172388792,2020,4,52000,10.859018228147887,Chevrolet,Chevrolet,Gasoline,Automatic,None reported,Yes,194
54999,10.915070282231135,2014,10,65000,11.082157933374816,Mercedes-Benz,Mercedes-Benz,Diesel,Automatic,Accident/damage reported,Yes,195
6730,8.814330422638774,2004,20,140000,11.849404844423074,BMW,BMW,Gasoline,Automatic,None reported,Yes,196
14950,9.612466578818832,2018,6,75600,11.233224789593368,Ford,Ford,Gasoline,Automatic,Accident/damage reported,Yes,197
12000,9.392661928770137,2015,9,117292,11.67243035681655,Lincoln,Lincoln,Gasoline,Automatic,None reported,Yes,198
33600,10.422281345951296,2017,7,26000,10.165890277802454,Genesis,Genesis,Gasoline,Automatic,None reported,Yes,199
99950,11.512425339928546,2022,2,2071,7.6362696033793735,Lexus,Lexus,Gasoline,Automatic,None reported,Unknown,200
61900,11.033275458672687,2014,10,15629,9.656947423415522,Ford,Ford,Gasoline,Manual,None reported,Unknown,201
18500,9.825526011066415,2008,16,15020,9.617204500998055,Saturn,Other,Gasoline,Automatic,None reported,Yes,202
119900,11.694413341015606,2022,2,11322,9.33459133431404,Audi,Audi,Gasoline,Automatic,None reported,Unknown,203
65998,11.097379717519113,2016,8,50361,10.826992201428478,Toyota,Toyota,Gasoline,Automatic,None reported,Unknown,204
36000,10.491274217438248,2013,11,115000,11.652696102959753,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,Accident/damage reported,Yes,205
63500,11.058795184880783,2005,19,28500,10.25769445336048,Porsche,Porsche,Gasoline,Manual,None reported,Yes,206
32000,10.373491181781864,2018,6,51700,10.853232402669228,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,207
3900,8.268731832117737,2008,16,148949,11.911365958141428,Ford,Ford,Gasoline,Automatic,None reported,Yes,208
31750,10.365648004320837,2018,6,39300,10.579005242826247,BMW,BMW,Gasoline,Automatic,Accident/damage reported,Yes,209
28500,10.257659366256743,2008,16,82323,11.31841796019235,Honda,Honda,Gasoline,Manual,None reported,Yes,210
34998,10.463046195981693,2023,1,3574,8.181720455128108,Acura,Acura,Gasoline,Other,None reported,Unknown,211
12749,9.453208116138121,2001,23,109357,11.602382183008215,Ford,Ford,Gasoline,Automatic,None reported,Yes,212
18853,9.844427331406584,2004,20,46000,10.736418414365376,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,213
104999,11.561706105284784,2007,17,123112,11.720857911795733,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,Accident/damage reported,Yes,214
16900,9.735068900911164,2007,17,37100,10.521399202410167,INFINITI,INFINITI,Gasoline,Manual,None reported,Yes,215
14500,9.581903928408666,2016,8,89000,11.39640288460621,Volkswagen,Volkswagen,Gasoline,Manual,None reported,Yes,216
53900,10.89488575689709,2022,2,1240,7.123672785204607,Dodge,Dodge,Gasoline,Automatic,None reported,Unknown,217
47999,10.778935456339678,2019,5,67073,11.11355176649838,Lincoln,Lincoln,Gasoline,Automatic,Accident/damage reported,Yes,218
24900,10.1226230824528,2015,9,28700,10.264687244346277,Maserati,Maserati,Gasoline,Automatic,Unknown,Unknown,219
93999,11.451039422897681,2023,1,8200,9.012011377036412,Tesla,Tesla,Unknown/Other,Automatic,None reported,Yes,220
108900,11.598185308921051,2018,6,41000,10.62135173563291,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,221
34998,10.463046195981693,2018,6,98995,11.502834724260058,Ford,Ford,Gasoline,Automatic,None reported,Unknown,222
5000,8.517193191416238,2012,12,123815,11.726551871592596,Volkswagen,Volkswagen,Gasoline,Automatic,None reported,Yes,223
34084,10.436583344947847,2020,4,61341,11.02422004228832,Toyota,Toyota,Gasoline,Automatic,Accident/damage reported,Unknown,224
15599,9.654962088618868,2016,8,96473,11.477028820972466,Honda,Honda,Gasoline,CVT,None reported,Unknown,225
31331,10.35236330172604,2017,7,66107,11.099045047260717,Jeep,Jeep,Gasoline,Automatic,None reported,Unknown,226
9900,9.20029003612268,2008,16,114287,11.646476857394754,Land,Land,Gasoline,Automatic,None reported,Yes,227
14500,9.581903928408666,2015,9,75000,11.225256725762893,Acura,Acura,Gasoline,Automatic,None reported,Yes,228
36800,10.513253124157023,2016,8,45800,10.732061203925053,BMW,BMW,Gasoline,Automatic,Unknown,Unknown,229
